"huid","Tabloid_dict","Non_tabliod_dict"
2926020931,0.00625,0
2631385113,0.01087,0
2459594126,0.00291,0.00291
3249252636,0.01829,0
4716529638,0,0
1941739052,0.0034,0
3873520204,0.00621,0.00621
2428705202,0,0
4250454556,0.0045,0
5650427946,0.00388,0.00581
2807545725,0.01277,0.00426
4321681829,0.01818,0
5726487622,0,0
4133430642,0.01145,0
4701683306,0.00244,0.00489
2167473108,0.0043,0
3288272716,0,0
4709119395,0.0125,0
3839973538,0,0.0026
3575775762,0.00543,0
4361741074,0,0
2890852697,0,0.00392
2576286411,0,0.00803
2851738559,0.01887,0
2146431771,0.00239,0.00239
5605592858,0.0061,0.0061
5404566772,0.0068,0
1954894872,0.00752,0
3718020168,0,0
5386256786,0,0
5276383452,0.00901,0
2189597428,0,0
6072715651,0.00369,0.00369
2370875633,0,0
6147309408,0,0.00245
5792908808,0,0
3082066760,0.00508,0
4052005545,0.00371,0
1916333588,0.0113,0.00565
5096284531,0.00398,0.00398
3637720795,0,0
3402465182,0,0
6147054605,0,0
2867463200,0,0
3092990943,0,0
5510935596,0.01961,0
5422968026,0,0
3722078307,0,0
5491079889,0.00282,0
2935765304,0.00266,0
2139759010,0,0.00709
2762600095,0,0
4318239004,0,0
3185951190,0,0
2363058203,0.02083,0
2797638099,0,0.00382
5254292085,0.00295,0
4368079887,0,0
4239720912,0.00326,0
2146180562,0.00371,0.00124
2366336131,0.00392,0.00196
2735653045,0,0
2051896433,0.00408,0.00408
5204952584,0,0.00478
3185484781,0.00287,0
2164618287,0,0
5126966362,0.01639,0
3810825144,0.00207,0.00103
2500916147,0,0
2957398305,0.02703,0
5265702417,0.008,0
2981889941,0.01026,0
4203515945,0.00357,0.00357
4563320969,0,0
4042126028,0.00416,0
5214276359,0,0
4074828227,0,0.00311
3167248424,0,0
4861624895,0.00263,0.00789
1949632009,0.00725,0.00725
2335034692,0,0
5126325337,0,0
2693832781,0,0.00247
3403822262,0,0
5116368700,0.0087,0
2266041650,0,0.00238
4207048678,0.08571,0
3663002116,0.02017,0
5746816428,0,0
3092516782,0,0
2816173561,0,0
3125648337,0,0
2004111818,0.0027,0.0027
5772239742,0.01205,0.0241
3445015695,0.01786,0
5608797343,0.00483,0
2031372704,0.01463,0.00488
3722436702,0.00656,0
4588448145,0,0
6083819484,0,0
3643397735,0,0
5035900740,0,0
2232321393,0,0
4388953435,0,0
4795084477,0.0054,0.0054
5933358506,0.00866,0.00433
2032354168,0,0
4465359688,0.02198,0
5862125412,0.00645,0.00387
4745247880,0,0.00847
4733998834,0.01852,0
3233772981,0,0
5841691443,0,0.00962
